prov,head_popgrp,hsg_maind,hsg_rm_tot,hsg_rent,onemed_hh,ad60plusyr_hh,lab_salary_hh,soc_grant_hh,metro_code,
1,1,1,1,88,0,0,4000,2,1,
1,1,8,1,1,0,0,2500,0,1,
1,1,8,1,2,0,0,4000,0,1,
1,1,8,2,2,0,0,4500,4,1,
1,1,8,1,2,0,0,5257,0,1,
1,2,1,9,4,4,1,66200,0,1,
1,2,1,7,88,0,2,9800,4,1,
1,2,1,6,88,2,0,25983,0,1,
1,2,1,7,6,2,0,20000,0,1,
1,2,6,7,4,2,1,50000,0,1,
1,2,5,7,88,0,1,14000,1,1,
1,2,1,5,88,1,0,20000,0,1,
1,4,1,9,4,0,0,9999999,0,1,
1,4,1,7,5,0,0,26000,0,1,
1,2,8,4,2,0,1,9400,2,1,
1,2,8,5,1,0,0,3500,3,1,
1,4,10,3,5,0,0,16000,3,1,
1,4,1,9,88,1,1,0,0,1,
1,4,1,11,7,4,0,63000,0,1,
1,4,1,9,7,3,0,0,0,1,
1,4,1,7,6,1,0,46583,0,1,
1,4,1,8,7,4,0,32000,0,1,
1,4,1,7,7,3,0,75000,0,1,
1,2,1,6,88,0,0,0,0,1,
1,2,6,3,88,0,0,10000,0,1,
1,2,1,4,88,0,0,10514,0,1,
1,2,6,5,88,0,0,5000,0,1,
1,2,1,4,3,0,0,5600,2,1,
1,2,6,5,88,0,1,0,1,1,
1,1,9,2,88,0,0,5600,2,1,
1,1,9,1,2,0,0,3929,2,1,
1,1,9,1,2,0,0,2008,0,1,
1,1,9,2,88,0,0,4000,0,1,
1,1,9,1,2,0,0,0,0,1,
1,1,9,1,2,0,0,0,0,1,
1,1,9,1,2,0,0,13100,0,1,
1,1,9,1,88,0,0,3600,0,1,
1,1,9,2,88,0,0,2997,2,1,
1,1,9,1,2,0,0,5257,0,1,
1,1,9,3,2,0,0,5000,0,1,
1,1,9,1,2,0,0,3929,0,1,
1,1,9,1,88,0,0,0,1,1,
1,1,9,2,2,0,0,9368,0,1,
1,1,9,2,88,0,0,3929,1,1,
1,1,9,3,88,0,0,3929,1,1,
1,1,9,2,88,0,1,0,4,1,
1,1,9,2,88,0,0,10257,0,1,
1,1,9,3,88,0,0,0,0,1,
1,1,9,1,88,0,0,3929,0,1,
1,1,9,1,88,0,0,4000,2,1,
1,1,9,3,88,0,1,0,1,1,
1,1,9,2,2,0,0,2008,0,1,
1,1,1,8,88,0,1,9186,3,1,
1,1,1,8,88,0,1,12600,1,1,
1,1,1,7,88,0,1,0,1,1,
1,1,1,7,88,0,0,0,0,1,
1,1,1,6,88,0,0,3929,2,1,
1,1,1,7,88,1,1,0,0,1,
1,1,9,2,88,0,0,3500,1,1,
1,1,9,2,88,0,0,0,0,1,
1,1,9,3,88,0,0,1472,0,1,
1,1,9,2,88,0,0,6926,2,1,
1,2,1,7,3,0,0,0,1,1,
1,2,1,9,88,0,1,0,1,1,
1,2,4,5,6,0,0,5600,0,1,
1,1,3,5,6,0,0,15000,0,1,
1,1,3,5,4,1,0,0,0,1,
1,4,4,8,6,2,0,25000,0,1,
